"Code","Description"
"498","Enterprise Read-only Domain Controllers"
"500","Administrator"
"501","Guest"
"502","KRBTGT"
"512","Domain Admins"
"513","Domain Users"
"514","Domain Guests"
"515","Domain Computers"
"516","Domain Controllers"
"517","Cert Publishers"
"518","Schema Admins"
"519","Enterprise Admins"
"520","Group Policy Creator Owners"
"521","Read-only Domain Controllers"
"522","Cloneable Domain Controllers"
"526","Key Admins"
"527","Enterprise Key Admins"
"553","RAS and IAS Servers"
"571","Allowed RODC Password Replication Group"
"572","Denied RODC Password Replication Group"
