"Code","Description"
"LO","List Object"
"FR","File Generic Read"
"WD","Modify Permissions"
"DT","Delete Subtree"
"SD","Delete"
"FW","FILE GENERIC WRITE"
"FX","FILE GENERIC EXECUTE"
"KA","KEY ALL ACCESS"
"WO","Modify Owner"
"WP","Write All Properties"
"GA","Generic All"
"CC","Create All Child Objects"
"SW","All Validated"
"KR","KEY READ"
"GR","Generic Read"
"KW","KEY WRITE"
"KX","KEY EXECUTE"
"CR","All Extended Rights"
"GW","Generic Write"
"RC","Read Permissions"
"GX","Generic Execute"
"LC","List Contents"
"FA","File All Access"
"RP","Read All Properties"
"DC","Delete All Child Objects"
