"tdo_attributes","tdo_attributes_description"
"0","UNDEFINED"
"1","TRUST_ATTRIBUTE_NON_TRANSITIVE - dom A trust only dom B, dom A does not trust C throught dom B if dom B trust dom C"
"2","TRUST_ATTRIBUTE_UPLEVEL_ONLY - only win2000/newer can use this link"
"4","TRUST_ATTRIBUTE_QUARANTINED_DOMAIN - Domain is quarantined and subject to the rules of SID filtering"
"8","TRUST_ATTRIBUTE_FOREST_TRANSITIVE - cross forest trust between root forest."
"16","TRUST_ATTRIBUTE_CROSS_ORGANIZATION - trust to domain or forest not part of organization"
"32","TRUST_ATTRIBUTE_WITHIN_FOREST - trust within the same forest"
"64","TRUST_ATTRIBUTE_TREAT_AS_EXTERNAL - cross forest trust but external"
"128","TRUST_ATTRIBUTE_USES_RC4_ENCRYPTION - trust with newer domain"
"512","TRUST_ATTRIBUTE_CROSS_ORGANIZATION_NO_TGT_DELEGATION - trust must not be trusted for delegation"
"1024","TRUST_ATTRIBUTE_PIM_TRUST - trust treated as Privileged Identity Management"
